   45554543 function calls (45554384 primitive calls) in 88.291 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       35    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
      168    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
      147    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
       12    0.000    0.000    0.000    0.000 posixpath.py:115(splitext)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
      107    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
       77    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        7    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
       24    0.000    0.000    0.000    0.000 __init__.py:799(acquire)
       25    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
       12    0.000    0.000    0.000    0.000 __init__.py:532(usesTime)
        1    0.000    0.000    0.000    0.000 __init__.py:1676(basicConfig)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
       34    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       12    0.000    0.000    0.000    0.000 __init__.py:118(getLevelName)
       12    0.000    0.000    0.000    0.000 __init__.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       12    0.000    0.000    0.000    0.000 genericpath.py:111(_splitext)
       24    0.000    0.000    0.000    0.000 __init__.py:806(release)
