 100861447 function calls (100861288 primitive calls) in 187.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      401    0.000    0.000    0.000    0.000 world.py:6(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      363    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      272    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.000    0.000 __init__.py:819(format)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
       83    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 chinese_capital.py:90(<dictcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:554(format)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:957(flush)
       77    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      192    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      179    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
    35/15    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        3    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
